file,item_index,name,before_category,after_category,final_gt,basis_group,judgement,reason,type,qty,base_price,final_price
costco\001_costco.json,3,유기농 우유,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,9590,7790
costco\003_costco.json,0,유기농 우유,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,2,19180,15580
costco\004_costco.json,4,유기농 우유,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,9590,9590
costco\005_costco.json,4,비타민우유2.3L,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,3790,3790
costco\006_costco.json,1,빌라올란다 무스,기타,간식,간식,needs_manual_review,수동 검토,현재 규칙으로 명확히 해석되지 않는 diff. 상품명 품질과 문맥 확인 필요,core_category_changed,1,14990,14990
costco\006_costco.json,4,샐러드 2종,식재료,간편식,간편식,ready_made_salad,정상 기준 변경,곡물/시즌/복수 구성 샐러드는 즉석 섭취형 완제품 샐러드로 보고 간편식,core_category_changed,1,9390,9390
costco\008_costco.json,3,곡물 샐러드,식재료,간편식,간편식,ready_made_salad,정상 기준 변경,곡물/시즌/복수 구성 샐러드는 즉석 섭취형 완제품 샐러드로 보고 간편식,core_category_changed,1,10990,10990
costco\010_costco.json,9,비타민우유2.3L,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,3790,3790
costco\013_costco.json,8,봉하쌀연잎칠밥,식재료,간편식,간편식,needs_manual_review,수동 검토,현재 규칙으로 명확히 해석되지 않는 diff. 상품명 품질과 문맥 확인 필요,core_category_changed,1,24990,24990
costco\013_costco.json,11,본마망 4프루츠,식재료,기타,식재료,seasoning_sauce_ingredient,프롬프트 오류,조미료/소스/식초/감미료/치즈/버터/스프레드류는 조리·식사용 부재료로 식재료,core_category_changed,1,8990,8990
costco\013_costco.json,18,프리미엄우유2.3L,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,6790,5690
costco\018_costco.json,8,VICENZI FIRENZE,간식,기타,간식,snack_bakery_dessert,프롬프트 오류,제과·디저트성 빵류/과자/초콜릿/스프레드성 간식은 간식,core_category_changed,1,13790,13790
costco\019_costco.json,8,CRISP SPICY 2 KG,간식,기타,간식,snack_bakery_dessert,프롬프트 오류,제과·디저트성 빵류/과자/초콜릿/스프레드성 간식은 간식,core_category_changed,1,5990,5990
costco\020_costco.json,15,본마망 4프루츠,식재료,기타,식재료,seasoning_sauce_ingredient,프롬프트 오류,조미료/소스/식초/감미료/치즈/버터/스프레드류는 조리·식사용 부재료로 식재료,core_category_changed,1,8390,6690
