receipt_file,store,item_order,gt_name,pred_name,gt_category,pred_category,label_confidence,allowed_categories,strict_match,allowed_match,is_uncategorized,status,basis,reason,categorized_file_exists,categorized_path
001_costco.json,costco,1,KS프리미엄화장지,KS프리미업화장치,생활용품,기타,ambiguous,"[""생활용품"", ""기타""]",False,True,False,allowed_mismatch,"GS1/KAN 일상용품 중 위생·가정용품 계열, COICOP Household goods 계열 참고",상품명에 OCR 오류가 있으나 할인 대상명 'KS프리미엄화장' 문맥상 화장지류로 해석 가능하므로 생활용품으로 우선 매핑함. 다만 상품명이 완전하지 않아 기타 혼동을 허용함,True,data\categorized\costco\001_costco.json
001_costco.json,costco,2,튀김용 새우900G,튀김 새우900G,식재료,간편식,ambiguous,"[""식재료"", ""간편식""]",False,True,False,allowed_mismatch,"GS1/KAN 신선·냉동 수산물 및 가공 수산물 계열, COICOP Food 계열 참고","상품명만 보면 조리된 튀김 새우처럼 보일 수 있으나, 할인 대상명에 '튀김용 새우'가 나타나 원재료성 냉동 수산물로 판단되므로 식재료로 우선 매핑함",True,data\categorized\costco\001_costco.json
006_costco.json,costco,2,샤또몽페라레드,샤또몽페라레드,기타,주류,unknown,"[""기타"", ""주류""]",False,True,False,allowed_mismatch,브랜드명·제품명 중심 상품명으로 외부 주류 지식 의존성이 높은 항목,"상품명상 와인일 가능성은 있으나, '와인', '맥주', '주류' 등 명시적 카테고리 단서가 없다. 본 연구의 보수적 GT 기준에서는 브랜드 지식 기반 추론을 피하므로 기타로 분류하되, 주류 혼동 가능성은 기록함",True,data\categorized\costco\006_costco.json
006_costco.json,costco,3,엘로우테일 CAB,엘로우테일 CAB,기타,주류,unknown,"[""기타"", ""주류""]",False,True,False,allowed_mismatch,브랜드명·영문 축약 중심 상품명으로 외부 브랜드 지식 의존성이 높은 항목,"상품명만으로는 소비 목적을 안정적으로 판단하기 어렵고, CAB 역시 외부 와인 지식이 있어야 해석 가능하다. 따라서 기타로 분류하되 주류 혼동 가능성은 기록함",True,data\categorized\costco\006_costco.json
008_costco.json,costco,7,골드오차드견과,골드오차드견과,기타,간식,unknown,"[""기타"", ""간식""]",False,True,False,allowed_mismatch,브랜드명·제품명 결합 및 상품명 훼손 가능성이 있는 항목,"상품명에 '견과' 단서가 있으나 전체 상품명이 브랜드명과 결합되어 있고 구체 상품군을 안정적으로 판단하기 어렵다. 본 연구의 보수적 GT 기준에서는 외부 상품 지식이나 할인 대상명(TRAIL MIX)에 과도하게 의존하지 않기 위해 기타로 분류하되, 간식 혼동 가능성은 기록함",True,data\categorized\costco\008_costco.json
008_costco.json,costco,8,양념 돼지갈비,양념 돼지갈비,간편식,식재료,ambiguous,"[""간편식"", ""식재료""]",False,True,False,allowed_mismatch,"GS1/KAN 양념육·가공육 및 조리 준비 식품 계열, COICOP Food 및 ready-made food 계열 참고",돼지갈비 원육이 아니라 '양념' 처리가 된 상품이므로 단순 식재료보다 조리 준비가 완료된 반찬형 간편식 성격이 강해 간편식으로 우선 매핑함,True,data\categorized\costco\008_costco.json
010_costco.json,costco,2,KS VEGETABLE 5.5,KS VEGETABLE 5.5,기타,식재료,unknown,"[""기타"", ""식재료""]",False,True,False,allowed_mismatch,영문 브랜드·제품명 중심 상품명으로 상품군 식별이 불안정한 항목,"VEGETABLE이라는 단서가 있으나 전체 상품명이 영문 축약형이고 구체적으로 채소, 냉동식품, 가공식품 중 무엇인지 안정적으로 판단하기 어렵다. 본 연구의 보수적 GT 기준에 따라 기타로 분류하되, 식재료 혼동 가능성은 기록함",True,data\categorized\costco\010_costco.json
013_costco.json,costco,18,카프레제,카프레제,기타,간편식,unknown,"[""기타"", ""간편식""]",False,True,False,allowed_mismatch,외국어 음식명 기반 상품명으로 외부 음식 지식 의존성이 높은 항목,"카프레제는 특정 음식명을 알고 있어야 소비 카테고리를 해석할 수 있으며, 상품명 자체에는 샐러드·간편식·식재료 등 직접적인 카테고리 단서가 부족하다. 본 연구의 보수적 GT 기준에 따라 기타로 분류하되, 간편식 혼동 가능성은 기록함",True,data\categorized\costco\013_costco.json
013_costco.json,costco,21,플레인요거트2000,플레인요거트2000,간식,식재료,ambiguous,"[""간식"", ""식재료""]",False,True,False,allowed_mismatch,"GS1/KAN 발효유 및 요거트류, COICOP Food 계열 참고","플레인 요거트는 조리 재료로도 활용 가능하지만, 본 연구 기준에서는 일반적인 직접 섭취 목적과 디저트성 소비 맥락을 고려해 간식으로 우선 매핑함",True,data\categorized\costco\013_costco.json
014_costco.json,costco,2,크리넥스마이비데,크리넥스마이비데,기타,생활용품,unknown,"[""기타"", ""생활용품""]",False,True,False,allowed_mismatch,브랜드·제품명 중심 상품명으로 외부 상품 지식 의존성이 높은 항목,"상품명만으로는 물티슈, 위생용품, 화장지류 등 구체 상품군을 직접 판단하기 어렵다. '마이비데'는 브랜드·제품 지식을 알고 있어야 생활용품으로 해석 가능하므로, 본 연구의 보수적 GT 기준에 따라 기타로 분류하되 생활용품 혼동 가능성은 기록함",True,data\categorized\costco\014_costco.json
