receipt_file,store,item_order,gt_name,pred_name,gt_category,pred_category,label_confidence,allowed_categories,strict_match,allowed_match,is_uncategorized,status,basis,reason,categorized_file_exists,categorized_path
001_costco.json,costco,3,오리진단팥빵752G,오리진단팥빵752G,간식,간편식,clear,"[""간식""]",False,False,False,real_mismatch,"GS1/KAN 제과·베이커리류 중 기호성 빵류, COICOP Food 계열 참고",단팥빵은 식사 구성용 기본 빵보다 디저트성·기호성 베이커리 성격이 강하므로 간식으로 분류함,True,data\categorized\costco\001_costco.json
006_costco.json,costco,1,훼타치 즈465G,훼타치 즈465G,식재료,기타,clear,"[""식재료""]",False,False,False,real_mismatch,"GS1/KAN 유제품 및 치즈류, COICOP Food 계열 참고","상품명은 OCR 공백이 일부 있으나 '훼타치즈'로 해석 가능하며, 치즈는 조리 또는 식사 구성에 사용하는 유제품이므로 식재료로 분류함",True,data\categorized\costco\006_costco.json
006_costco.json,costco,5,허브 6종,허브 6종,식재료,기타,clear,"[""식재료""]",False,False,False,real_mismatch,"GS1/KAN 채소·향신 채소 및 조리 재료 계열, COICOP Food 계열 참고",허브는 조리 또는 음식 준비에 사용하는 식재료 성격이 명확하므로 식재료로 분류함,True,data\categorized\costco\006_costco.json
008_costco.json,costco,2,리코타&파스타,리코타&파스타,간편식,기타,ambiguous,"[""간편식"", ""식재료""]",False,False,False,real_mismatch,"GS1/KAN 즉석·냉장 조리식품 또는 샐러드/파스타류, COICOP ready-made food 계열 참고","리코타와 파스타가 결합된 완성 메뉴형 상품명으로 보이며, 단순 면류 재료보다 바로 섭취 가능한 식사형 상품 가능성이 높아 간편식으로 우선 매핑함",True,data\categorized\costco\008_costco.json
008_costco.json,costco,6,스퀴즈드레몬,스퀴즈드레몬,음료,기타,ambiguous,"[""음료"", ""식재료""]",False,False,False,real_mismatch,"GS1/KAN 과채 음료 또는 농축 과즙류, COICOP Non-alcoholic beverages 및 Food 계열 참고","상품명만으로 레몬즙/레몬주스인지 조리용 레몬 원액인지 경계가 있으나, '스퀴즈드' 표현상 착즙 음료 또는 음용 가능한 레몬 주스 성격이 강하므로 음료로 우선 매핑함",True,data\categorized\costco\008_costco.json
013_costco.json,costco,2,파인애플슬라이스,파인애플슬라이스,식재료,기타,ambiguous,"[""식재료"", ""간식""]",False,False,False,real_mismatch,"GS1/KAN 과일 및 가공 과일류, COICOP Food 계열 참고","파인애플 슬라이스는 바로 섭취 가능한 과일 형태이지만, 본 연구 기준에서는 가공·손질 과일류를 식사 구성 재료 성격의 식재료로 우선 매핑함",True,data\categorized\costco\013_costco.json
013_costco.json,costco,7,테팔프라이팬2P,테팔프라이팬2P,생활용품,기타,clear,"[""생활용품""]",False,False,False,real_mismatch,"GS1/KAN 주방용품 계열, COICOP Household goods 계열 참고",프라이팬은 조리에 사용하는 주방 기구이므로 생활용품으로 분류함,True,data\categorized\costco\013_costco.json
013_costco.json,costco,12,카라카라 오렌지,카라카라 오렌지,식재료,기타,clear,"[""식재료""]",False,False,False,real_mismatch,"GS1/KAN 신선 과일류, COICOP Food 계열 참고",오렌지는 신선 과일류로 상품명만으로 식품 원재료 성격이 명확하므로 식재료로 분류함,True,data\categorized\costco\013_costco.json
013_costco.json,costco,20,하이롤러 연어,하이롤러 연어,간편식,식재료,ambiguous,"[""간편식"", ""기타""]",False,False,False,real_mismatch,"GS1/KAN 델리·롤 형태 즉석식품 계열, COICOP ready-made food 계열 참고",하이롤러는 롤 형태의 델리·즉석식품 문맥으로 해석 가능하며 연어가 포함된 완성 메뉴형 상품으로 판단되어 간편식으로 우선 매핑함,True,data\categorized\costco\013_costco.json
019_costco.json,costco,9,미니까망베르,미니까망베르,기타,간식,unknown,"[""기타"", ""식재료""]",False,False,False,real_mismatch,외국어 제품명 중심 상품명으로 외부 음식·유제품 지식 의존성이 높은 항목,"까망베르 치즈로 추론 가능하지만, 상품명 자체에는 치즈·유제품 등의 직접 단서가 없다. 보수적 GT 기준에 따라 기타로 분류하되 식재료 혼동 가능성은 기록함",True,data\categorized\costco\019_costco.json
019_costco.json,costco,11,트러플잠봉,트러플잠봉,식재료,기타,ambiguous,"[""식재료"", ""간편식""]",False,False,False,real_mismatch,"GS1/KAN 육가공품 및 조리 식재료 계열, COICOP Food 계열 참고","잠봉은 햄·육가공 식재료 문맥이 비교적 명확하며, 트러플과 결합된 식재료·델리 상품으로 해석 가능하다. 직접 조리 재료 또는 식사 구성 재료 성격이 강하므로 식재료로 우선 매핑하되, 간편식 혼동 가능성은 기록함",True,data\categorized\costco\019_costco.json
020_costco.json,costco,18,풀무원그릭요거트,풀무원그릭요거트,식재료,간편식,ambiguous,"[""식재료"", ""간식""]",False,False,False,real_mismatch,"GS1/KAN 발효유 및 유제품 계열, COICOP Food 계열 참고","그릭요거트는 직접 섭취도 가능하지만, 본 연구 기준에서는 일반 요거트보다 식사 구성 또는 조리 재료 성격이 강한 유제품으로 보아 식재료로 우선 매핑함",True,data\categorized\costco\020_costco.json
021_costco.json,costco,12,만능육수요리한포,만능육수요리한포,식재료,간편식,clear,"[""식재료""]",False,False,False,real_mismatch,"GS1/KAN 조미료·육수·소스류 및 조리 재료 계열, COICOP Food 계열 참고",육수용 조리 재료로 음식 준비에 사용되는 상품이므로 식재료로 분류함,True,data\categorized\costco\021_costco.json
026_costco.json,costco,17,점보블루베리,점보블루베리,식재료,기타,clear,"[""식재료""]",False,False,False,real_mismatch,"GS1/KAN 신선 과일류, COICOP Food 계열 참고",블루베리는 신선 과일류로 상품명만으로 식품 원재료 성격이 명확하므로 식재료로 분류함,True,data\categorized\costco\026_costco.json
